id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-04-03 10:31:24,"{""short_code"":""4mya84"",""original_url"":""https://opswise.net/brisk/trail/1""}"
2,2,221,created,2026-01-04 17:29:21,"{""short_code"":""9gP8gk"",""original_url"":""https://hackstack.io/ivory/canyon/2""}"
3,3,242,created,2026-02-10 02:46:40,"{""short_code"":""QONCnb"",""original_url"":""https://acme.dev/harbor/harvest/3""}"
4,4,17,created,2025-02-14 18:17:48,"{""short_code"":""p0am4w"",""original_url"":""https://acme.dev/mellow/pioneer/4""}"
5,5,47,created,2025-09-07 22:17:44,"{""short_code"":""as2xGi"",""original_url"":""https://relay.cloud/opal/trail/5""}"
6,6,329,created,2025-12-04 23:20:39,"{""short_code"":""4l7uZZ"",""original_url"":""https://relay.cloud/ivory/journey/6""}"
7,7,74,created,2025-07-06 23:28:09,"{""short_code"":""i4EpyE"",""original_url"":""https://opswise.net/young/meadow/7""}"
8,8,146,created,2025-02-28 23:28:23,"{""short_code"":""KqWdSC"",""original_url"":""https://opswise.net/urban/meadow/8""}"
9,9,343,created,2025-12-19 22:13:40,"{""short_code"":""5q2B3H"",""original_url"":""https://acme.dev/amber/kernel/9""}"
10,10,385,created,2025-05-07 04:46:11,"{""short_code"":""9LNbaL"",""original_url"":""https://hackstack.io/ivory/zenith/10""}"
11,11,151,created,2026-01-29 00:21:54,"{""short_code"":""gGw9p7"",""original_url"":""https://seeded.app/tidy/valley/11""}"
12,12,58,created,2025-02-17 18:39:49,"{""short_code"":""xkxb3t"",""original_url"":""https://acme.dev/proud/engine/12""}"
13,13,139,created,2026-01-21 22:57:30,"{""short_code"":""AkMH1F"",""original_url"":""https://relay.cloud/opal/orbit/13""}"
14,14,13,created,2025-04-10 20:51:33,"{""short_code"":""ZFtLCU"",""original_url"":""https://relay.cloud/silver/harvest/14""}"
15,15,163,created,2025-10-12 14:16:00,"{""short_code"":""aP9HuJ"",""original_url"":""https://hackstack.io/keen/garden/15""}"
16,16,72,created,2026-02-19 08:00:41,"{""short_code"":""M1W3Id"",""original_url"":""https://relay.cloud/proud/harvest/16""}"
